Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
22.8,-158,9,30,2004,0.063,0.014,0.006,0.012,0.002,0.002,0.001,NaN,0.084
31.696,-64.165,1,19,1997,0.2,NaN,0.035,0.044,0.017,0.005,0.001,0,NaN
31.577,-64.202,4,20,2001,0.208,NaN,0.025,0.021,0.016,0.008,0.001,0.001,NaN
31.706,-64.212,3,20,2003,0.284,NaN,0.019,0.05,0.03,0.009,0.003,0.008,0.042
19.1699,67.1621,7,21,1995,0.488,0.177,0.055,0.15,0.057,0.027,0.011,0.003,0.147
22.3334,60.5023,10,31,1995,0.439,0.037,0.054,0.117,0.043,0.027,0.018,0.004,0.104
17.2384,59.756,12,21,1995,0.346,0.044,0.076,0.127,0.052,0.029,0.008,0.003,0.105
-5.0332,-139.9758,3,5,1992,0.165,NaN,0.028,0.048,0.011,0.006,0.008,0,0.054
-4.9485,-140.0943,9,29,1992,0.087,NaN,0.015,0.033,0.006,0.003,0.002,0,0.054
49.72668,-18.50482,5,5,1990,2.01075,NaN,0.09467,0.77681,0.20683,0.54576,0.04692,NaN,NaN
49.62989,-18.51511,5,6,1990,1.3965,NaN,0.0832,0.3819,0.12665,0.4118,0.0402,NaN,NaN
49.30988,-17.42781,5,14,1990,4.24484,NaN,0.1069,1.34756,0.2377,1.7032,0.05666,NaN,NaN
48.52691,-17.44113,5,19,1990,2.74701,NaN,0.0796,1.69763,0.13776,0.73798,0.09321,NaN,NaN
46.19963,-16.22895,6,13,1990,0.6487,NaN,0,0.42549,0.07702,0.05568,0.05348,NaN,NaN
15.19851,66.99915,9,14,2001,0.2557,0,0,0.06394,0.02197,0.01726,0.01504,0,0.0579
-68.159,-68.949,1,26,2003,0.93,NaN,0.077,0.117,0.057,0.469,0,0.046,0.009
-64.458,-65.654,1,9,2004,0.238,NaN,0.015,0.118,0.063,0.228,0.032,0.064,0.003
-64.611,-68.294,1,12,2004,0.042,NaN,0.003,0.037,0.005,0.036,0.003,0.027,0.002
-64.893,-64.244,1,16,2004,0.309,NaN,0.004,0.033,0.014,0.054,0,0.446,0.005
-65.368,-69.504,1,19,2004,0.068,NaN,0.007,0.08,0.011,0.041,0,0.047,0.003
-67.773,-69.949,1,26,2004,0.2,NaN,0.018,0.182,0.053,0.141,0.012,0.077,0.007
-64.858,-67.687,2,1,1998,0.2337,NaN,0,0.062,0.0468,0.0796,0,0,0
-65.369,-69.5,2,4,1998,0.0626,NaN,0,0.041,0.0075,0.0355,0,0.0031,0
-66.763,-69.24,2,5,1998,0.2523,NaN,0.0027,0.1106,0.0305,0.0795,0,0.0397,0
